PUNTO_MUESTREO,ANNO,MES,DIA,FECHA,NOMBRE_CAPITAL,As,BaP,Cd,Ni,PM10,PM2.5,Pb,ICA
02003001_10_49,2017,1,1,2017-01-01,Albacete,,,,,27.0,,,2
02003001_10_49,2017,1,2,2017-01-02,Albacete,,,,,21.0,,,2
02003001_10_49,2017,1,3,2017-01-03,Albacete,,,,,32.0,,,2
02003001_10_49,2017,1,6,2017-01-06,Albacete,,,,,25.0,,,2
02003001_10_49,2017,1,7,2017-01-07,Albacete,,,,,24.0,,,2
02003001_10_49,2017,1,8,2017-01-08,Albacete,,,,,34.0,,,2
02003001_10_49,2017,1,9,2017-01-09,Albacete,,,,,37.0,,,2
02003001_10_49,2017,1,10,2017-01-10,Albacete,,,,,22.0,,,2
02003001_10_49,2017,1,11,2017-01-11,Albacete,,,,,18.0,,,1
02003001_10_49,2017,1,12,2017-01-12,Albacete,,,,,22.0,,,2
02003001_10_49,2017,1,13,2017-01-13,Albacete,,,,,19.0,,,1
02003001_10_49,2017,1,14,2017-01-14,Albacete,,,,,17.0,,,1
02003001_10_49,2017,1,15,2017-01-15,Albacete,,,,,15.0,,,1
02003001_10_49,2017,1,16,2017-01-16,Albacete,,,,,18.0,,,1
02003001_10_49,2017,1,17,2017-01-17,Albacete,,,,,17.0,,,1
02003001_10_49,2017,1,18,2017-01-18,Albacete,,,,,18.0,,,1
02003001_10_49,2017,1,19,2017-01-19,Albacete,,,,,16.0,,,1
02003001_10_49,2017,1,20,2017-01-20,Albacete,,,,,13.0,,,1
02003001_10_49,2017,1,21,2017-01-21,Albacete,,,,,14.0,,,1
02003001_10_49,2017,1,22,2017-01-22,Albacete,,,,,16.0,,,1
02003001_10_49,2017,1,23,2017-01-23,Albacete,,,,,24.0,,,2
02003001_10_49,2017,1,26,2017-01-26,Albacete,,,,,27.0,,,2
02003001_10_49,2017,1,27,2017-01-27,Albacete,,,,,19.0,,,1
02003001_10_49,2017,1,28,2017-01-28,Albacete,,,,,14.0,,,1
02003001_10_49,2017,1,31,2017-01-31,Albacete,,,,,18.0,,,1
02003001_10_49,2017,2,1,2017-02-01,Albacete,,,,,22.0,,,2
02003001_10_49,2017,2,2,2017-02-02,Albacete,,,,,16.0,,,1
02003001_10_49,2017,2,3,2017-02-03,Albacete,,,,,26.0,,,2
02003001_10_49,2017,2,7,2017-02-07,Albacete,,,,,17.0,,,1
02003001_10_49,2017,2,8,2017-02-08,Albacete,,,,,13.0,,,1
02003001_10_49,2017,2,9,2017-02-09,Albacete,,,,,16.0,,,1
02003001_10_49,2017,2,10,2017-02-10,Albacete,,,,,21.0,,,2
02003001_10_49,2017,2,11,2017-02-11,Albacete,,,,,26.0,,,2
02003001_10_49,2017,2,12,2017-02-12,Albacete,,,,,64.0,,,3
02003001_10_49,2017,2,13,2017-02-13,Albacete,,,,,39.0,,,2
02003001_10_49,2017,2,14,2017-02-14,Albacete,,,,,20.0,,,1
02003001_10_49,2017,2,15,2017-02-15,Albacete,,,,,20.0,,,1
02003001_10_49,2017,2,16,2017-02-16,Albacete,,,,,30.0,,,2
02003001_10_49,2017,2,17,2017-02-17,Albacete,,,,,34.0,,,2
02003001_10_49,2017,2,18,2017-02-18,Albacete,,,,,33.0,,,2
02003001_10_49,2017,2,19,2017-02-19,Albacete,,,,,33.0,,,2
02003001_10_49,2017,2,20,2017-02-20,Albacete,,,,,26.0,,,2
02003001_10_49,2017,2,21,2017-02-21,Albacete,,,,,28.0,,,2
02003001_10_49,2017,2,22,2017-02-22,Albacete,,,,,46.0,,,2
02003001_10_49,2017,2,23,2017-02-23,Albacete,,,,,59.0,,,3
02003001_10_49,2017,2,24,2017-02-24,Albacete,,,,,66.0,,,3
02003001_10_49,2017,2,25,2017-02-25,Albacete,,,,,29.0,,,2
02003001_10_49,2017,2,26,2017-02-26,Albacete,,,,,50.0,,,2
02003001_10_49,2017,2,27,2017-02-27,Albacete,,,,,36.0,,,2
02003001_10_49,2017,2,28,2017-02-28,Albacete,,,,,19.0,,,1
02003001_10_49,2017,3,1,2017-03-01,Albacete,,,,,25.0,,,2
02003001_10_49,2017,3,2,2017-03-02,Albacete,,,,,26.0,,,2
02003001_10_49,2017,3,3,2017-03-03,Albacete,,,,,27.0,,,2
02003001_10_49,2017,3,4,2017-03-04,Albacete,,,,,16.0,,,1
02003001_10_49,2017,3,5,2017-03-05,Albacete,,,,,17.0,,,1
02003001_10_49,2017,3,6,2017-03-06,Albacete,,,,,21.0,,,2
02003001_10_49,2017,3,7,2017-03-07,Albacete,,,,,25.0,,,2
02003001_10_49,2017,3,8,2017-03-08,Albacete,,,,,27.0,,,2
02003001_10_49,2017,3,9,2017-03-09,Albacete,,,,,33.0,,,2
02003001_10_49,2017,3,10,2017-03-10,Albacete,,,,,34.0,,,2
02003001_10_49,2017,3,11,2017-03-11,Albacete,,,,,29.0,,,2
02003001_10_49,2017,3,12,2017-03-12,Albacete,,,,,27.0,,,2
02003001_10_49,2017,3,13,2017-03-13,Albacete,,,,,15.0,,,1
02003001_10_49,2017,3,14,2017-03-14,Albacete,,,,,28.0,,,2
02003001_10_49,2017,3,15,2017-03-15,Albacete,,,,,33.0,,,2
02003001_10_49,2017,3,16,2017-03-16,Albacete,,,,,31.0,,,2
02003001_10_49,2017,3,17,2017-03-17,Albacete,,,,,26.0,,,2
02003001_10_49,2017,3,18,2017-03-18,Albacete,,,,,38.0,,,2
02003001_10_49,2017,3,19,2017-03-19,Albacete,,,,,37.0,,,2
02003001_10_49,2017,3,22,2017-03-22,Albacete,,,,,26.0,,,2
02003001_10_49,2017,3,23,2017-03-23,Albacete,,,,,16.0,,,1
02003001_10_49,2017,3,24,2017-03-24,Albacete,,,,,20.0,,,1
02003001_10_49,2017,3,25,2017-03-25,Albacete,,,,,18.0,,,1
02003001_10_49,2017,3,28,2017-03-28,Albacete,,,,,23.0,,,2
02003001_10_49,2017,3,29,2017-03-29,Albacete,,,,,28.0,,,2
02003001_10_49,2017,3,30,2017-03-30,Albacete,,,,,31.0,,,2
02003001_10_49,2017,3,31,2017-03-31,Albacete,,,,,31.0,,,2
02003001_10_49,2017,4,1,2017-04-01,Albacete,,,,,24.0,,,2
02003001_10_49,2017,4,2,2017-04-02,Albacete,,,,,17.0,,,1
02003001_10_49,2017,4,3,2017-04-03,Albacete,,,,,18.0,,,1
02003001_10_49,2017,4,4,2017-04-04,Albacete,,,,,23.0,,,2
02003001_10_49,2017,4,5,2017-04-05,Albacete,,,,,25.0,,,2
02003001_10_49,2017,4,6,2017-04-06,Albacete,,,,,22.0,,,2
02003001_10_49,2017,4,7,2017-04-07,Albacete,,,,,27.0,,,2
02003001_10_49,2017,4,8,2017-04-08,Albacete,,,,,24.0,,,2
02003001_10_49,2017,4,9,2017-04-09,Albacete,,,,,24.0,,,2
02003001_10_49,2017,4,10,2017-04-10,Albacete,,,,,25.0,,,2
02003001_10_49,2017,4,11,2017-04-11,Albacete,,,,,29.0,,,2
02003001_10_49,2017,4,12,2017-04-12,Albacete,,,,,33.0,,,2
02003001_10_49,2017,4,13,2017-04-13,Albacete,,,,,31.0,,,2
02003001_10_49,2017,4,14,2017-04-14,Albacete,,,,,35.0,,,2
02003001_10_49,2017,4,15,2017-04-15,Albacete,,,,,30.0,,,2
02003001_10_49,2017,4,16,2017-04-16,Albacete,,,,,33.0,,,2
02003001_10_49,2017,4,17,2017-04-17,Albacete,,,,,33.0,,,2
02003001_10_49,2017,4,18,2017-04-18,Albacete,,,,,33.0,,,2
02003001_10_49,2017,4,19,2017-04-19,Albacete,,,,,29.0,,,2
02003001_10_49,2017,4,20,2017-04-20,Albacete,,,,,25.0,,,2
02003001_10_49,2017,4,21,2017-04-21,Albacete,,,,,23.0,,,2
02003001_10_49,2017,4,22,2017-04-22,Albacete,,,,,23.0,,,2
02003001_10_49,2017,4,23,2017-04-23,Albacete,,,,,25.0,,,2
02003001_10_49,2017,4,24,2017-04-24,Albacete,,,,,35.0,,,2
02003001_10_49,2017,4,25,2017-04-25,Albacete,,,,,47.0,,,2
02003001_10_49,2017,4,28,2017-04-28,Albacete,,,,,18.0,,,1
02003001_10_49,2017,4,29,2017-04-29,Albacete,,,,,17.0,,,1
02003001_10_49,2017,4,30,2017-04-30,Albacete,,,,,23.0,,,2
02003001_10_49,2017,5,1,2017-05-01,Albacete,,,,,17.0,,,1
02003001_10_49,2017,5,2,2017-05-02,Albacete,,,,,21.0,,,2
